Onset(s),Order,Section,Picture
0.036719,1,C,C1_1
2.0196,1,C,Fixation
2.5158,1,C,C1_2
4.5166,1,C,Fixation
5.0167,1,C,C1_3
7.0155,1,C,Fixation
7.5154,1,C,C1_4
9.5152,1,C,Fixation
10.0152,1,C,C1_5
12.0161,1,C,Fixation
22.0148,1,B,B1_1
24.0137,1,B,Fixation
24.5137,1,B,B1_2
26.5135,1,B,Fixation
27.0135,1,B,B1_3
29.0133,1,B,Fixation
29.5132,1,B,B1_4
31.513,1,B,Fixation
32.0129,1,B,B1_5
34.0137,1,B,Fixation
50.0121,1,A,A1_1
52.0119,1,A,Fixation
52.5119,1,A,A1_2
54.5118,1,A,Fixation
55.0117,1,A,A1_3
57.0107,1,A,Fixation
57.5105,1,A,A1_4
59.5105,1,A,Fixation
60.0103,1,A,A1_5
0.022921,2,C,C2_1
