SID,Run,Scheduled Onset(s),Actual Onset(s),Scheduled Onset(TR),Actual Onset(TR),Order,Section,Picture
20131104T121801,1,0,0.05055,0,0.025275,2,C,C2_1
20131104T121801,1,2,2.0179,1,1.009,2,C,Fixation
20131104T121801,1,2.5,2.5116,1.25,1.2558,2,C,C2_2
20131104T121801,1,4.5,4.5115,2.25,2.2557,2,C,Fixation
20131104T121801,1,5,5.0114,2.5,2.5057,2,C,C2_3
20131104T121801,1,7,7.0121,3.5,3.5061,2,C,Fixation
20131104T121801,1,7.5,7.5119,3.75,3.756,2,C,C2_4
20131104T121801,1,9.5,9.511,4.75,4.7555,2,C,Fixation
20131104T121801,1,10,10.011,5,5.0055,2,C,C2_5
20131104T121801,1,12,12.0109,6,6.0054,2,C,Fixation
20131104T121801,1,18,18.0115,9,9.0058,2,B,B2_1
20131104T121801,1,20,20.0111,10,10.0056,2,B,Fixation
20131104T121801,1,20.5,20.51,10.25,10.255,2,B,B2_2
20131104T121801,1,22.5,22.511,11.25,11.2555,2,B,Fixation
20131104T121801,1,23,23.0099,11.5,11.5049,2,B,B2_3
20131104T121801,1,25,25.0106,12.5,12.5053,2,B,Fixation
20131104T121801,1,25.5,25.5107,12.75,12.7554,2,B,B2_4
20131104T121801,1,27.5,27.5093,13.75,13.7547,2,B,Fixation
20131104T121801,1,28,28.0096,14,14.0048,2,B,B2_5
20131104T121801,1,30,30.0092,15,15.0046,2,B,Fixation
20131104T121801,1,43,43.0078,21.5,21.5039,2,A,A2_1
20131104T121801,1,45,45.0077,22.5,22.5039,2,A,Fixation
20131104T121801,1,45.5,45.5077,22.75,22.7538,2,A,A2_2
20131104T121801,1,47.5,47.5075,23.75,23.7538,2,A,Fixation
20131104T121801,1,48,48.0074,24,24.0037,2,A,A2_3
20131104T121801,1,50,50.0072,25,25.0036,2,A,Fixation
20131104T121801,1,50.5,50.5072,25.25,25.2536,2,A,A2_4
20131104T121801,1,52.5,52.5071,26.25,26.2536,2,A,Fixation
20131104T121801,1,53,53.0071,26.5,26.5035,2,A,A2_5
20131104T121801,1,55,55.0068,27.5,27.5034,2,A,Fixation
20131104T121801,1,,67.5021,,33.751,2,,End
20131104T121801,2,0,0.017065,0,0.0085325,8,B,B8_1
20131104T121801,2,2,2.0181,1,1.0091,8,B,Fixation
20131104T121801,2,2.5,2.517,1.25,1.2585,8,B,B8_2
20131104T121801,2,4.5,4.5166,2.25,2.2583,8,B,Fixation
20131104T121801,2,5,5.0165,2.5,2.5082,8,B,B8_3
20131104T121801,2,7,7.0174,3.5,3.5087,8,B,Fixation
20131104T121801,2,7.5,7.5164,3.75,3.7582,8,B,B8_4
20131104T121801,2,9.5,9.5162,4.75,4.7581,8,B,Fixation
20131104T121801,2,10,10.016,5,5.008,8,B,B8_5
20131104T121801,2,12,12.0159,6,6.0079,8,B,Fixation
20131104T121801,2,28.5,28.5144,14.25,14.2572,8,A,A8_1
20131104T121801,2,30.5,30.5141,15.25,15.2571,8,A,Fixation
20131104T121801,2,31,31.0142,15.5,15.5071,8,A,A8_2
20131104T121801,2,33,33.0139,16.5,16.507,8,A,Fixation
20131104T121801,2,33.5,33.5138,16.75,16.7569,8,A,A8_3
20131104T121801,2,35.5,35.5137,17.75,17.7568,8,A,Fixation
20131104T121801,2,36,36.0137,18,18.0068,8,A,A8_4
20131104T121801,2,38,38.0135,19,19.0067,8,A,Fixation
20131104T121801,2,38.5,38.5135,19.25,19.2567,8,A,A8_5
20131104T121801,2,40.5,40.5133,20.25,20.2566,8,A,Fixation
20131104T121801,2,48.5,48.5126,24.25,24.2563,8,C,C8_1
20131104T121801,2,50.5,50.5133,25.25,25.2567,8,C,Fixation
20131104T121801,2,51,51.0131,25.5,25.5066,8,C,C8_2
20131104T121801,2,53,53.0129,26.5,26.5065,8,C,Fixation
20131104T121801,2,53.5,53.513,26.75,26.7565,8,C,C8_3
20131104T121801,2,55.5,55.512,27.75,27.756,8,C,Fixation
20131104T121801,2,56,56.0119,28,28.0059,8,C,C8_4
20131104T121801,2,58,58.0118,29,29.0059,8,C,Fixation
20131104T121801,2,58.5,58.5116,29.25,29.2558,8,C,C8_5
20131104T121801,2,60.5,60.5115,30.25,30.2557,8,C,Fixation
20131104T121801,2,,80.0001,,40.0001,8,,End
20131104T121801,3,0,0.021741,0,0.01087,5,B,B5_1
20131104T121801,3,2,2.006,1,1.003,5,B,Fixation
20131104T121801,3,2.5,2.5048,1.25,1.2524,5,B,B5_2
20131104T121801,3,4.5,4.5046,2.25,2.2523,5,B,Fixation
20131104T121801,3,5,5.0046,2.5,2.5023,5,B,B5_3
20131104T121801,3,7,7.0044,3.5,3.5022,5,B,Fixation
20131104T121801,3,7.5,7.5053,3.75,3.7526,5,B,B5_4
20131104T121801,3,9.5,9.5042,4.75,4.7521,5,B,Fixation
20131104T121801,3,10,10.0051,5,5.0026,5,B,B5_5
20131104T121801,3,12,12.004,6,6.002,5,B,Fixation
